,Product Name,Price,Gender,Product Category,Product Sub Category,Product size
0,NIVEACreme,28.99,male,twarz,"krem do twarzy, uniwersalny",400 ml
1,NIVEACreme,5.99,male,twarz,"krem do twarzy, uniwersalny",50 ml
2,MANUFAKTURA PIĘKNADżentelmen,37.99,male,twarz,"krem do twarzy, normalizujący o zapachu czarnej herbaty, dla mężczyzn",50 ml
3,DERMIKA100% for MEN,39.99,male,twarz,"krem do twarzy, rewitalizujący, silnie nawilżający, 30+, dzień/noc",50 ml
4,DERMIKA100% for MEN,39.99,male,twarz,"krem do twarzy, przeciw zmarszczkom, wygładzający skórę, 40+, dzień/noc",50 ml
5,DERMIKA100% for MEN,45.99,male,twarz,"krem do twarzy, przeciw zmarszczkom i bruzdom, 50+, dzień/noc",50 ml
6,DERMIKA100% for MEN,29.99,male,twarz,"krem pod oczy, przeciw zmarszczkom wokół oczu",15 ml
7,BIELENDA PROFESSIONALSupremeLab,23.99,male,twarz,żel do mycia twarzy odświeżająco-oczyszczający,200 ml
8,BIELENDA PROFESSIONALSupremeLab For Men,35.99,male,twarz,kremowe serum regenerująco-przeciwzmarszczkowe,30 ml
9,BIELENDA PROFESSIONALSupremeLab For Men,35.99,male,twarz,"krem pod oczy, nawilżająco-przeciwzmarszczkowy",15 ml
10,BIELENDA PROFESSIONALSupremeLab For Men,35.99,male,twarz,"nawilżający krem-żel, łagodzący",50 ml
11,BIELENDA PROFESSIONALSupremeLab For Men,35.99,male,twarz,lekki krem normalizujący,50 ml
12,BIELENDA PROFESSIONALSupremeLab For Men,35.99,male,twarz,energetyzujący krem przeciwzmarszczkowy,50 ml
13,BIELENDAOnly For Man Carbo Detox,18.99,male,twarz,"żel do mycia twarzy, oczyszczający, węglowy",150 g
14,BIELENDAOnly For Man Super Matt,16.99,male,twarz,"żel do mycia twarzy, peelingujący, oczyszczający",150 g
15,BIELENDAOnly For Man Super Matt,16.99,male,twarz,"żel do twarzy, nawilżający, przeciw błyszczeniu się skóry",50 ml
16,BIELENDAOnly For Man Extra Energy,16.99,male,twarz,"krem do twarzy, nawilżający, przeciw oznakom zmęczenia, dzień/noc",50 ml
17,BIELENDAOnly For Men Barber Edition,18.99,male,twarz,żel do mycia twarzy i zarostu,190 g
18,BIELENDAOnly For Men Barber Edition,21.49,male,twarz,żel-booster do pielęgnacji twarzy,30 ml
19,BIELENDAOnly For Men Barber Edition,21.49,male,twarz,"krem do twarzy, nawilżająco-energetyzujący",50 ml
20,L'ORÉAL PARIS MEN EXPERTPower Age,74.99,male,twarz,serum z kwasem hialuronowym,30 ml
21,L'ORÉAL PARIS MEN EXPERTPower Age,72.99,male,twarz,rewitalizujący krem nawilżający,50 ml
22,L'ORÉAL PARIS MEN EXPERTHydra Energetic,30.99,male,twarz,"żel do mycia twarzy, pobudzający",100 ml
23,L'ORÉAL PARIS MEN EXPERTMagnesium Defense,30.99,male,twarz,"żel do mycia twarzy, hipoalergiczny",100 ml
24,L'ORÉAL PARIS MEN EXPERTMagnesium Defense,50.99,male,twarz,"krem do twarzy, nawilżający 24H, hipoalergiczny",50 ml
25,L'ORÉAL PARIS MEN EXPERTStop The Wrinkles,62.99,male,twarz,"krem do twarzy, nawilżający, pierwsze zmarszczki",50 ml
26,L'ORÉAL PARIS MEN EXPERTHydra Energetic,50.99,male,twarz,"krem nawilżający, SPF","15,50 ml"
27,L'ORÉAL PARIS MEN EXPERTHydra Energetic,50.99,male,twarz,"krem do twarzy, nawiżający 24H, przeciw oznakom zmęczenia",50 ml
28,L'ORÉAL PARIS MEN EXPERTHydra 24H,34.99,male,twarz,"krem do twarzy, nawilżający",50 ml
29,HAGIAhoj Kapitanie!,29.99,male,twarz,"żel do mycia twarzy, orzeźwiający",200 ml
30,HAGIAhoj Kapitanie!,44.99,male,twarz,"naturalny multikrem do twarzy, ciała i rąk",50 ml
31,HAGIAhoj Kapitanie!,54.99,male,twarz,krem do twarzy przeciwzmarszczkowy,50 ml
32,JANDA GENTLEMANPlatinum Carrier,48.99,male,twarz,"krem do twarzy, 40+, dzień/noc, dla mężczyzn",50 ml
33,JANDA GENTLEMANPlatinum Carrier,48.99,male,twarz,"krem do twarzy, 50+, dzień/noc, dla mężczyzn",50 ml
34,NIVEA MENSensitive,28.99,male,twarz,żel do mycia twarzy,100 ml
35,NIVEA MENSensitive,33.99,male,twarz,"krem do twarzy, łagodzący",75 ml
36,NIVEA MENSensitive,29.99,male,twarz,"krem do twarzy nawilżający, SPF15",75 ml
37,NIVEA MENSensitive,35.99,male,twarz,żel-krem do twarzy,50 ml
38,NIVEA MENProtect & Care,28.99,male,twarz,żel do mycia twarzy,100 ml
39,NIVEA MENProtect & Care,33.99,male,twarz,"krem do twarzy, nawilżający",75 ml
40,NIVEA MENCreme,16.99,male,twarz,"krem do twarzy, ciała i rąk, nawilżający",150 ml
41,NIVEA MENCreme,8.99,male,twarz,"krem do twarzy, ciała i rąk, nawilżający",75 ml
42,NIVEA MENAnti-Age Power,89.99,male,twarz,zaawansowane serum antypigmentacyjne,30 ml
43,NIVEA MENAnti-Age Power,89.99,male,twarz,krem do twarzy nawilżający,50 ml
44,NIVEA MENHyaluron,56.99,male,twarz,żel do twarzy przeciwzmarszczkowy Anti-Age Hydro,50 ml
45,NIVEA MENHyaluron,61.99,male,twarz,"krem do twarzy przeciwzmarszczkowy, Anti-Age",50 ml
46,NIVEA MENHyaluron,46.99,male,twarz,"krem pod oczy przeciwzmarszczkowy, Anti-Age",15 ml
47,MASVERIMen,22.99,male,twarz,"żel do mycia twarzy, enzymatyczny",150 ml
48,MASVERIMen,31.99,male,twarz,"krem do twarzy dla mężczyzn, nawilżający, Hydro Punch",75 ml
49,MASVERIMen,31.99,male,twarz,"krem do twarzy dla mężczyzn, matujący, Matt Knockout",75 ml
50,TOŁPADermo Men.,25.99,male,twarz,"żel do mycia twarzy, z zieloną herbatą",195 ml
51,TOŁPADermo Men.,23.99,male,twarz,"żel-peeling do twarzy, z imbirem",150 ml
52,TOŁPADermo Men.,37.99,male,twarz,"krem do twarzy, nawilżający, z kwasem hialuronowym",40 ml
53,TOŁPADermo Men. Anti Age,37.99,male,twarz,"krem do twarzy, z kofeiną",40 ml
54,TOŁPADermo Men.,31.99,male,twarz,"krem pod oczy, z guaraną",10 ml
55,AA MENCarbon Care,18.99,male,twarz,"peeling do mycia twarzy, z węglem",150 ml
56,AA MENAdvanced Care,24.99,male,twarz,"krem przeciwzmarszczkowy dla mężczyzn, na dzień i na noc, vital 40+",50 ml
57,AA MENAdvanced Care,24.99,male,twarz,"krem odbudowujący dla mężczyzn, na dzień i na noc, intensive 50+",50 ml
58,AA MENAdvanced Care,24.99,male,twarz,"regenerujący krem wzmacniający dla mężczyzn, na dzień i na noc, repair 60+",50 ml
59,AA MENActive Care,15.99,male,twarz,"żel do mycia twarzy peelingujący, 3w","1,150 ml"
60,AA MENActive Care,25.49,male,twarz,"krem do twarzy, ultralekki, 3w","1,50 ml"
61,AA MENActive Care,25.49,male,twarz,"krem do twarzy outdoorowy, SPF","30,50 ml"
62,AA MENActive Care,23.99,male,twarz,"krem pod oczy ultralekki, 3w","1,15 ml"
63,ALTERRAMen,Z APKĄ12.99,male,twarz,"żel mycia do twarzy, 2w1, dla mężczyzn",150 ml
64,ALTERRAMen,Z APKĄ11.99,male,twarz,"krem do twarzy, przeciwzmarszczkowy, dzień/noc",50 ml
65,ISANA MENUltra Sensitive,17.49,male,twarz,"krem do twarzy, nawilżający, dla mężczyzn",75 ml
66,ISANA MENLifting Power,13.99,male,twarz,"fluid do twarzy, wygładzający, dla mężczyzn",50 ml
67,ISANA MENHyaluron Power,13.99,male,twarz,"żel do twarzy, chłodzący, dla mężczyzn",50 ml
68,AA MENBeard,29.49,male,twarz,krem do twarzy z zarostem All-in-One,50 ml
69,AA,19.99,male,twarz,"żel do mycia twarzy z zarostem, nawilżający",150 ml
70,NIVEA MENMen Active,16.49,male,twarz,"pomadka do ust, dla mężczyzn, pielęgnacyjna, SPF 15","4,8 g"
71,BATMAN,12.99,male,twarz,pomadka ochronna,"3,8 g"
72,DERMAGLINDerma Men,5.19,male,twarz,"maseczka do twarzy, dla mężczyzn, oczyszczająca, Clear Men Mask, Zielona Glinka Kambryjska",20 g
73,DERMAGLINDerma Men,5.19,male,twarz,"maseczka do twarzy, dla mężczyzn, przeciwstarzeniowa, Energy Men Mask, Zielona Glinka Kambryjska",20 g
74,BARONESSRed Gingseng,2.99,male,twarz,"maseczka do twarzy, w płachcie, ujędrniająca,1 szt.",
75,DERMIKAMaestria,99.99,female,twarz,"serum do twarzy przeciwzmarszczkowe na dzień i noc, 15% ekstrakt ze śluzu ślimaka",30 ml
76,DERMIKAMaestria,89.99,female,twarz,"krem do twarzy przeciwzmarszczkowy, na dzień i na noc 50+",50 ml
77,DERMIKAMaestria,89.99,female,twarz,"krem do twarzy przeciwzmarszczkowy, na dzień i na noc 60+",50 ml
78,DERMIKAMaestria,89.99,female,twarz,"krem do twarzy przeciwzmarszczkowy, na dzień i na noc 70+",50 ml
79,DERMIKALuxury Caviar,52.99,female,twarz,"krem pod oczy, kawiorowy, intensywnie regenerujący",15 ml
80,DERMIKALuxury Caviar,72.99,female,twarz,"krem do twarzy, kawiorowy, wypełniający zmarszczki, 50+, dzień/noc",50 ml
81,DERMIKALuxury Caviar,72.99,female,twarz,"krem do twarzy, kawiorowy, aktywnie regenerujący, 60+, dzień/noc",50 ml
82,DERMIKALuxury Caviar,72.99,female,twarz,"krem do twarzy, kawiorowy, odbudowujący, 70+, dzień/noc",50 ml
83,DERMIKALuxury Neocollagen,Z APKĄ36.99,female,twarz,"krem pod oczy, kolagenowy, regenerujący",15 ml
84,DERMIKALuxury Neocollagen,Z APKĄ51.99,female,twarz,"krem do twarzy, kolagenowy, wzmacniający, 50+, dzień/noc",50 ml
85,DERMIKALuxury Neocollagen,Z APKĄ51.99,female,twarz,"krem do twarzy, kolagenowy, naprawczy, 60+, dzień/noc",50 ml
86,DERMIKALuxury Neocollagen,Z APKĄ51.99,female,twarz,"krem do twarzy, kolagenowy, odżywczy, 70+, dzień/noc",50 ml
87,DERMIKALuxury Ceramides,61.99,female,twarz,"serum do twarzy, ceramidowe, przeciwzmarszczkowe, w kapsułkach, dzień/noc",60 g
88,DERMIKALuxury Ceramides,31.99,female,twarz,"krem-serum pod oczy, liftingujący",15 ml
89,DERMIKALuxury Ceramides,47.99,female,twarz,"krem do twarzy, przeciwzmarszczkowy, Regeneracja, 50+, dzień/noc",50 ml
90,DERMIKALuxury Ceramides,47.99,female,twarz,"krem do twarzy, przeciwzmarszczkowy, Rewitalizacja, 60+, dzień/noc",50 ml
91,DERMIKALuxury Ceramides,47.99,female,twarz,"krem do twarzy, przeciwzmarszczkowy, Ujędrnienie, 70+, dzień/noc",50 ml
92,DERMIKALuxury Placenta,79.99,female,twarz,"krem do twarzy, luksusowy, liftingująco-wygładzający, 50+, dzień/noc",50 ml
93,DERMIKALuxury Placenta,79.99,female,twarz,"krem do twarzy, luksusowy, odbudowująco-wygładzający, 60+, dzień/noc",50 ml
94,DERMIKALuxury Placenta,79.99,female,twarz,"krem do twarzy, luksusowy, ujędrniająco-wygładzający, 70+, dzień/noc",50 ml
95,YOSKINEMezo Peptide Expert,72.99,female,twarz,"serum, modelujące owal twarzy",30 ml
96,YOSKINEMezo Peptide Expert,69.99,female,twarz,"krem do twarzy, ujędrniający, przeciwzmarszczkowy 60+, na dzień/noc",50 ml
97,YOSKINEMezo Peptide Expert,69.99,female,twarz,"krem do twarzy, regenerujący, przeciwzmarszczkowy 70+, na dzień/noc",50 ml
98,YOSKINEMezo Peptide Expert,69.99,female,twarz,"krem do twarzy przeciwzmarszczkowy, wygładzający, 50+",50 ml
99,YOSKINESupreme-Vit B12&C,69.99,female,twarz,"serum redukujące przebarwienia, z kwasem traneksamowym",30 ml
100,YOSKINESupreme-Vit B12&C,67.99,female,twarz,"krem na dzień, przeciwzmarszczkowy, 50+, nawilżający",50 ml
101,YOSKINESupreme-Vit B12&C,67.99,female,twarz,"krem na noc, przeciwzmarszczkowy, 50+, regenerujący",50 ml
102,YOSKINESupreme-Vit B12&C,67.99,female,twarz,"krem na dzień, przeciwzmarszczkowy, 60+, wypełniający",50 ml
103,YOSKINESupreme-Vit B12&C,67.99,female,twarz,"krem na noc, przeciwzmarszczkowy, 60+, naprawczy",50 ml
104,YOSKINEBIO Collagen,25.99,female,twarz,"krem pod oczy i na powieki, przeciwzmarszczkowy, z herbatą matcha",15 ml
105,YOSKINEGeisha Gold Secret,41.99,female,twarz,"krem do twarzy, przeciwzmarszczkowy, z nićmi jedwabiu, 55+, dzień/noc",50 ml
106,YOSKINEGeisha Gold Secret,41.99,female,twarz,"krem do twarzy, przeciwzmarszczkowy, z algą nori, 65+, dzień/noc",50 ml
107,YOSKINETsubaki Anti-Age,41.99,female,twarz,"krem na powieki i okolice oczu, lumi-ceramidowe wygładzenie",15 ml
108,YOSKINETsubaki Anti-Age,53.99,female,twarz,"krem do twarzy, menokomórkowe odmłodzenie, 55+, dzień/noc",50 ml
109,YOSKINETsubaki Anti-Age,53.99,female,twarz,"krem do twarzy, fito-witaminowa odbudowa, 65+, dzień/noc",50 ml
110,UZDROVISCOBioklinika,68.99,female,twarz,"serum mikrozastrzyk, przeciwzmarszczkowe, 50-70+",50 ml
111,UZDROVISCOBioklinika,58.99,female,twarz,"krem pod oczy, redukujący zmarszczki, 50-70+",25 ml
112,UZDROVISCOBioklinika,68.99,female,twarz,"krem do twarzy przeciwzmarszczkowy, 50+, ujędrniający",50 ml
113,UZDROVISCOBioklinika,68.99,female,twarz,"krem do twarzy przeciwzmarszczkowy, 60+, odbudowujący",50 ml
114,UZDROVISCOBioklinika,68.99,female,twarz,"krem do twarzy przeciwzmarszczkowy, 70+, regenerujący",50 ml
115,JANDACollagen Reconstructor,58.99,female,twarz,"serum-odżywka do twarzy, odmładzające, Naturalny Kolagen",50 ml
116,JANDACollagen Reconstructor,39.99,female,twarz,"krem pod oczy, redukujący zmarszczki i cienie, Naturalny Kolagen",15 ml
117,JANDACollagen Reconstructor,58.99,female,twarz,"krem do twarzy, ujędrniający, Naturalny Kolagen, na dzień",50 ml
118,JANDACollagen Reconstructor,58.99,female,twarz,"krem do twarzy, ujędrniający, Naturalny Kolagen, na noc",50 ml
119,JANDAHialuron Reconstructor,49.99,female,twarz,"serum-booster do twarzy, redukcja zmarszczek, wygładzenie,  odmłodzenie",30 ml
120,JANDAHialuron Reconstructor,49.99,female,twarz,"krem do twarzy na dzień dobry, wygładzenie, wielopoziomowe nawilżenie, regeneracja",50 ml
121,JANDAHialuron Reconstructor,49.99,female,twarz,"krem do twarzy na dobranoc, redukcja zmarszczek, nawilżenie, odżywienie",50 ml
122,JANDASiła Nici Kosmetycznych Forte,36.99,female,twarz,"krem do twarzy, redukujący zmarszczki, Czarna Róża, dzień/noc",50 ml
123,JANDASiła Nici Kosmetycznych Forte,33.99,female,twarz,"krem do twarzy, redukujący zmarszczki, Czarna Róża, 50+, na noc",50 ml
124,JANDASiła Nici Kosmetycznych Forte,33.99,female,twarz,"krem do twarzy, redukujący zmarszczki, forte, Czarna Róża, 60+, na dzień",50 ml
125,JANDASiła Nici Kosmetycznych Forte,33.99,female,twarz,"krem do twarzy, redukujący zmarszczki, forte, Czarna Róża, 60+, na noc",50 ml
126,JANDASiła Nici Kosmetycznych Forte,33.99,female,twarz,"krem do twarzy, przeciwzmarszczkowy, Czarna Róża, 70+, na dzień",50 ml
127,JANDASiła Nici Kosmetycznych Forte,33.99,female,twarz,"krem do twarzy, przeciwzmarszczkowy, forte, Czarna Róża, 70+, na noc",50 ml
128,JANDASzafirowy Nośnik,32.99,female,twarz,"serum do twarzy, dermosenolityczne, koncentrat młodości",30 ml
129,JANDASzafirowy Nośnik,27.49,female,twarz,"krem pod oczy, dermosenolityczny, Róża Alpejska",15 ml
130,JANDASzafirowy Nośnik,41.99,female,twarz,"krem do twarzy, dermosenolityczny, Róża Alpejska, na dzień",50 ml
131,JANDASzafirowy Nośnik,41.99,female,twarz,"krem do twarzy, dermosenolityczny, Róża Alpejska, na noc",50 ml
132,BEBIO COSMETICSAgeless.Beauty,46.99,female,twarz,"serum, przeciwzmarszczkowe",30 ml
133,BEBIO COSMETICSAgeless.Beauty,34.99,female,twarz,"krem pod oczy, przeciwzmarszczkowe",15 ml
134,BEBIO COSMETICSAgeless.Beauty,46.99,female,twarz,"krem do twarzy, przeciwzmarszczkowy, na dzień",50 ml
135,BEBIO COSMETICSAgeless.Beauty,46.99,female,twarz,"krem-maska, przeciwzmarszczkowy, na noc",50 ml
136,NIVEAQ10 Ekstra Odżywienie,53.99,female,twarz,"krem do twarzy, przeciwzmarszczkowy, odbudowujący, SPF 15, na dzień",50 ml
137,NIVEAQ10 Ekstra Odżywienie,53.99,female,twarz,"krem do twarzy, przeciwzmarszczkowy, odbudowujący, na noc",50 ml
