,Product Name,Price,Gender,Product Category,Product Sub Category and Size
0,"NIVEACremekrem do twarzy, uniwersalny,400 ml","28,99 zł",male,twarz,"krem do twarzy, uniwersalny,400 ml"
1,"NIVEACremekrem do twarzy, uniwersalny,50 ml","5,99 zł",male,twarz,"krem do twarzy, uniwersalny,50 ml"
2,"MANUFAKTURA PIĘKNADżentelmenkrem do twarzy, normalizujący o zapachu czarnej herbaty, dla mężczyzn,50 ml","37,99 zł",male,twarz,"krem do twarzy, normalizujący o zapachu czarnej herbaty, dla mężczyzn,50 ml"
3,"DERMIKA100% for MENkrem do twarzy, rewitalizujący, silnie nawilżający, 30+, dzień/noc,50 ml","39,99 zł",male,twarz,"krem do twarzy, rewitalizujący, silnie nawilżający, 30+, dzień/noc,50 ml"
4,"DERMIKA100% for MENkrem do twarzy, przeciw zmarszczkom, wygładzający skórę, 40+, dzień/noc,50 ml","39,99 zł",male,twarz,"krem do twarzy, przeciw zmarszczkom, wygładzający skórę, 40+, dzień/noc,50 ml"
5,"DERMIKA100% for MENkrem do twarzy, przeciw zmarszczkom i bruzdom, 50+, dzień/noc,50 ml","45,99 zł",male,twarz,"krem do twarzy, przeciw zmarszczkom i bruzdom, 50+, dzień/noc,50 ml"
6,"DERMIKA100% for MENkrem pod oczy, przeciw zmarszczkom wokół oczu,15 ml","29,99 zł",male,twarz,"krem pod oczy, przeciw zmarszczkom wokół oczu,15 ml"
7,"BIELENDA PROFESSIONALSupremeLabżel do mycia twarzy odświeżająco-oczyszczający,200 ml","23,99 zł",male,twarz,"żel do mycia twarzy odświeżająco-oczyszczający,200 ml"
8,"BIELENDA PROFESSIONALSupremeLab For Menkremowe serum regenerująco-przeciwzmarszczkowe,30 ml","35,99 zł",male,twarz,"kremowe serum regenerująco-przeciwzmarszczkowe,30 ml"
9,"BIELENDA PROFESSIONALSupremeLab For Menkrem pod oczy, nawilżająco-przeciwzmarszczkowy,15 ml","35,99 zł",male,twarz,"krem pod oczy, nawilżająco-przeciwzmarszczkowy,15 ml"
10,"BIELENDA PROFESSIONALSupremeLab For Mennawilżający krem-żel, łagodzący,50 ml","35,99 zł",male,twarz,"nawilżający krem-żel, łagodzący,50 ml"
11,"BIELENDA PROFESSIONALSupremeLab For Menlekki krem normalizujący,50 ml","35,99 zł",male,twarz,"lekki krem normalizujący,50 ml"
12,"BIELENDA PROFESSIONALSupremeLab For Menenergetyzujący krem przeciwzmarszczkowy,50 ml","35,99 zł",male,twarz,"energetyzujący krem przeciwzmarszczkowy,50 ml"
